pearson_r_cam_vs_cold,high_cam_px,iou_vs_coldest,iou_expected_by_chance,cam_peak_row,cam_peak_col,coldest_row,coldest_col,peak_to_coldest_dist_px,storm_id,storm_name,timestamp,wind_kt,is_interpolated
0.15290602860433625,19345,0.3211090623506112,0.23880652289308332,50,180,0,209,57.8013840664737,AL092022,IAN,2022-09-25T11:00:00+00:00,40.0,True
-0.12592169771598938,14334,0.17694391986205765,0.1666395405612779,171,177,165,99,78.23042886243178,AL092022,IAN,2022-09-25T12:00:00+00:00,40.0,False
-0.08834282245688031,19635,0.2630664822617478,0.24325730639146648,173,178,26,143,151.10923201446033,AL092022,IAN,2022-09-25T13:00:00+00:00,40.0,True
-0.02130534961680634,16822,0.2660971662966169,0.20138872261462948,171,223,116,105,130.18832512940628,AL092022,IAN,2022-09-25T14:00:00+00:00,40.0,True
0.11644963416972466,17195,0.33543025784405095,0.20677754127734285,223,223,26,181,201.42740627829173,AL092022,IAN,2022-09-25T15:00:00+00:00,40.0,True
0.21320254907646802,17518,0.3896557194986514,0.21148320737861268,168,178,39,204,131.59407281484982,AL092022,IAN,2022-09-25T16:00:00+00:00,40.0,True
0.25961167424419557,16086,0.35364160390457355,0.19089549759096194,166,177,203,121,67.11929677819934,AL092022,IAN,2022-09-25T17:00:00+00:00,40.0,True
0.12227160029192817,8856,0.14448177823727062,0.09679111655154324,169,178,55,119,128.3627671873741,AL092022,IAN,2022-09-25T18:00:00+00:00,40.0,False
0.186623694364679,11029,0.21097996157013452,0.12347323757598826,171,179,124,101,91.0659101969557,AL092022,IAN,2022-09-25T19:00:00+00:00,41.66666666666666,True
0.2251206658597711,17048,0.2848959903527284,0.20464803610871027,171,178,77,66,146.21901381147393,AL092022,IAN,2022-09-25T20:00:00+00:00,43.333333333333336,True
0.1454269486596161,16440,0.19061413673232908,0.1959195347506912,171,176,114,109,87.96590248499699,AL092022,IAN,2022-09-25T21:00:00+00:00,45.0,True
0.028539067659541846,17117,0.15359212831918048,0.20564666306241366,172,176,83,200,92.17917335276988,AL092022,IAN,2022-09-25T22:00:00+00:00,46.66666666666666,True
-0.020410243543622062,18611,0.21927410901467506,0.22768255832446385,170,175,96,119,92.80086206496145,AL092022,IAN,2022-09-25T23:00:00+00:00,48.333333333333336,True
0.05530156418847847,18635,0.19248736161771293,0.22804312444167066,0,111,103,106,103.12128781197411,AL092022,IAN,2022-09-26T00:00:00+00:00,50.0,False
-0.26156450453388164,20533,0.15208304109973347,0.2572445157168093,154,174,95,107,89.27485648266257,AL092022,IAN,2022-09-26T01:00:00+00:00,52.5,True
-0.40843248733647164,13149,0.034010930680611805,0.15078609680859606,0,74,90,97,92.89241088485109,AL092022,IAN,2022-09-26T02:00:00+00:00,55.0,True
-0.21103383439719484,7724,0.0,0.08338731269162673,0,223,118,96,173.35801106380978,AL092022,IAN,2022-09-26T03:00:00+00:00,57.5,True
-0.33505203012168633,21977,0.1775705942238654,0.280408293460925,175,143,62,113,116.91449867317569,AL092022,IAN,2022-09-26T04:00:00+00:00,60.0,True
-0.14248026768069277,16071,0.10064034517001678,0.19068354670684967,173,165,59,115,124.48293055676348,AL092022,IAN,2022-09-26T05:00:00+00:00,62.5,True
0.4866081039290205,17267,0.4618184896715205,0.20782331347415298,0,111,37,217,112.27199116431488,AL092022,IAN,2022-09-29T08:00:00+00:00,63.333333333333336,True
0.3663398367726603,20200,0.48050425095279975,0.2520211597963869,0,95,28,213,121.27654348636426,AL092022,IAN,2022-09-29T09:00:00+00:00,62.5,True
0.3223331757636078,21173,0.4493616729985967,0.2674067618939366,0,88,20,210,123.62847568420473,AL092022,IAN,2022-09-29T10:00:00+00:00,61.66666666666666,True
0.3957663426792744,19134,0.4492160872528971,0.23558817011007413,0,91,53,144,74.95331880577403,AL092022,IAN,2022-09-29T11:00:00+00:00,60.833333333333336,True
