pearson_r_cam_vs_cold,high_cam_px,iou_vs_coldest,iou_expected_by_chance,cam_peak_row,cam_peak_col,coldest_row,coldest_col,peak_to_coldest_dist_px,storm_id,storm_name,timestamp,wind_kt,is_interpolated,wind_now,wind_24h_ago,delta24_kt,is_RI
0.6800953842510931,15147,0.5452968781881249,0.1777712575553078,115,121,116,130,9.055385138137416,AL022024,BERYL,2024-07-01 03:00:00+00:00,105.0,True,105.0,77.5,27.5,False
0.6666933315637567,9682,0.4644180594418816,0.1067828388662181,114,129,32,25,132.43866504914644,AL022024,BERYL,2024-07-01 04:00:00+00:00,103.33333333333331,True,103.33333333333331,80.0,23.333333333333314,False
0.4817413547173551,25974,0.5362413130267633,0.3492161660706123,119,122,100,127,19.6468827043885,AL022024,BERYL,2024-07-01 05:00:00+00:00,101.66666666666669,True,101.66666666666669,82.5,19.166666666666686,False
0.5143469530649726,17519,0.4052861669273653,0.2114978329892675,115,115,66,3,122.24974437601088,AL022024,BERYL,2024-07-01 06:00:00+00:00,100.0,False,100.0,85.0,15.0,False
0.4948837914123204,16309,0.5040346751510121,0.1940554240091382,118,116,96,124,23.40939982143925,AL022024,BERYL,2024-07-01 07:00:00+00:00,102.5,True,102.5,87.5,15.0,False
0.5316037944690591,18806,0.6039232409381663,0.2306183013268584,117,117,111,121,7.211102550927978,AL022024,BERYL,2024-07-01 08:00:00+00:00,105.0,True,105.0,90.0,15.0,False
0.4939748918263608,24288,0.54538224159323,0.3193100546907866,136,137,72,53,105.60303025955268,AL022024,BERYL,2024-07-01 09:00:00+00:00,107.5,True,107.5,92.5,15.0,False
0.540376564575234,31607,0.6545568758833691,0.4597716197541638,172,149,147,139,26.92582403567252,AL022024,BERYL,2024-07-01 10:00:00+00:00,110.0,True,110.0,95.0,15.0,False
0.5726393876148166,25758,0.5650271895980801,0.3453092742043595,119,118,104,127,17.4928556845359,AL022024,BERYL,2024-07-01 11:00:00+00:00,112.5,True,112.5,97.5,15.0,False
0.5646489886233861,21838,0.535562352775727,0.2781414779529765,123,117,60,35,103.40696301506972,AL022024,BERYL,2024-07-01 12:00:00+00:00,115.0,False,115.0,100.0,15.0,False
0.5968544074076179,12207,0.4720530599939704,0.1384877190992115,131,116,30,78,107.91200118615168,AL022024,BERYL,2024-07-01 13:00:00+00:00,116.5,True,116.5,102.5,14.0,False
0.5314930525580319,15598,0.4131183185359666,0.1840385114566864,140,122,88,118,52.15361924162119,AL022024,BERYL,2024-07-01 14:00:00+00:00,118.0,True,118.0,105.0,13.0,False
0.5672786830883013,12087,0.3865213650702609,0.1369398969013765,137,130,39,105,101.13851887386922,AL022024,BERYL,2024-07-01 15:00:00+00:00,119.5,True,119.5,107.5,12.0,False
0.5937998794047583,12170,0.4526139890188589,0.1380100247215985,133,122,8,111,125.4830665866913,AL022024,BERYL,2024-07-01 16:00:00+00:00,122.5,True,122.5,110.0,12.5,False
0.622040636919091,9717,0.5567125921179109,0.1072102388701936,115,117,12,148,107.56393447619884,AL022024,BERYL,2024-07-01 17:00:00+00:00,126.25,True,126.25,112.5,13.75,False
0.5906700559537764,8869,0.5932812359651487,0.0969469737546866,114,117,7,152,112.57886124845996,AL022024,BERYL,2024-07-01 18:00:00+00:00,130.0,False,130.0,115.0,15.0,False
0.5937671889342465,10525,0.5924048717754747,0.1171696705890211,116,118,0,79,122.38055401083948,AL022024,BERYL,2024-07-01 19:00:00+00:00,131.66666666666666,True,131.66666666666666,114.16666666666669,17.49999999999997,False
0.5847045346456251,10161,0.5874082174660209,0.1126609085163708,115,115,3,64,123.06502346320826,AL022024,BERYL,2024-07-01 20:00:00+00:00,133.33333333333334,True,133.33333333333334,113.33333333333331,20.00000000000003,False
0.5506619868067866,9574,0.4339848723133378,0.1054660820903743,116,114,29,134,89.26925562588724,AL022024,BERYL,2024-07-01 21:00:00+00:00,135.0,True,135.0,112.5,22.5,False
0.5773745272105965,9970,0.3815561560313171,0.1103095749153592,119,116,18,210,137.97463535012514,AL022024,BERYL,2024-07-01 22:00:00+00:00,136.66666666666666,True,136.66666666666666,111.66666666666669,24.99999999999997,False
0.6033566280732494,8989,0.4819882944522298,0.0983877499644276,133,132,55,191,97.8008179924892,AL022024,BERYL,2024-07-01 23:00:00+00:00,138.33333333333334,True,138.33333333333334,110.83333333333331,27.50000000000003,False
0.6353234317233138,9146,0.5286645495570784,0.1002784904501896,133,132,0,207,152.6892268629323,AL022024,BERYL,2024-07-02 00:00:00+00:00,140.0,False,140.0,110.0,30.0,True
0.7405968157935656,10108,0.6441119063109955,0.1120074464784362,131,130,126,119,12.083045973594572,AL022024,BERYL,2024-07-02 01:00:00+00:00,140.83333333333334,True,140.83333333333334,108.33333333333331,32.50000000000003,True
0.7594481522548812,9125,0.6954663693794129,0.1000252118342157,133,135,59,136,74.00675644831355,AL022024,BERYL,2024-07-02 02:00:00+00:00,141.66666666666666,True,141.66666666666666,106.66666666666669,34.99999999999997,True
0.7589941668173994,9951,0.5816577922593976,0.1100762159710622,118,119,168,176,75.82216034906945,AL022024,BERYL,2024-07-02 03:00:00+00:00,142.5,True,142.5,105.0,37.5,True
0.7114618691763167,11431,0.5372512103281334,0.1285523104778398,122,119,80,142,47.88527957525152,AL022024,BERYL,2024-07-02 04:00:00+00:00,143.33333333333334,True,143.33333333333334,103.33333333333331,40.00000000000003,True
0.6735834832168333,11663,0.4597909756555479,0.1315044706784381,132,132,153,192,63.56886030125127,AL022024,BERYL,2024-07-02 05:00:00+00:00,144.16666666666666,True,144.16666666666666,101.66666666666669,42.49999999999997,True
0.651934371617907,13480,0.3525309787789093,0.1551708260429136,124,131,137,196,66.2872536767062,AL022024,BERYL,2024-07-02 06:00:00+00:00,145.0,False,145.0,100.0,45.0,True
0.5970402571595571,11968,0.4373386176664865,0.1354091238233164,120,128,75,119,45.89117562233506,AL022024,BERYL,2024-07-02 07:00:00+00:00,145.0,True,145.0,102.5,42.5,True
0.6149066770668051,10494,0.4582088515250469,0.1167842596096062,130,133,31,152,100.80674580602232,AL022024,BERYL,2024-07-02 08:00:00+00:00,145.0,True,145.0,105.0,40.0,True
0.6364697527320086,11667,0.4580104973756561,0.1315555054406043,117,118,20,133,98.15294188153509,AL022024,BERYL,2024-07-02 09:00:00+00:00,145.0,True,145.0,107.5,37.5,True
0.6127447873806449,9361,0.2574383773255423,0.1028783066457122,135,135,17,141,118.15244390193544,AL022024,BERYL,2024-07-02 10:00:00+00:00,144.44444444444446,True,144.44444444444446,110.0,34.44444444444446,True
0.583987390563957,11417,0.2941509861709362,0.1283746556473829,128,130,35,73,109.07795377618706,AL022024,BERYL,2024-07-02 11:00:00+00:00,142.22222222222223,True,142.22222222222223,112.5,29.72222222222223,False
0.5444917727409181,9448,0.19860450364732,0.1039338202939364,133,135,18,85,125.39936203984452,AL022024,BERYL,2024-07-02 12:00:00+00:00,140.0,False,140.0,115.0,25.0,False
0.5694740029706205,9834,0.2650672155399755,0.1086413751960936,135,136,5,71,145.34441853748632,AL022024,BERYL,2024-07-02 13:00:00+00:00,139.16666666666666,True,139.16666666666666,116.5,22.666666666666657,False
0.5942154538140452,9395,0.3951588951588952,0.1032905658717855,135,135,81,156,57.9396237474839,AL022024,BERYL,2024-07-02 14:00:00+00:00,138.33333333333334,True,138.33333333333334,118.0,20.333333333333343,False
0.6675794634179048,12557,0.4748649283533004,0.1430263682442052,136,135,87,156,53.31041174104736,AL022024,BERYL,2024-07-02 15:00:00+00:00,137.5,True,137.5,119.5,18.0,False
0.6397201063214519,8595,0.30851792646723,0.0936713275281449,137,136,99,111,45.48626166217664,AL022024,BERYL,2024-07-02 16:00:00+00:00,136.66666666666666,True,136.66666666666666,122.5,14.166666666666657,False
0.674996376019396,12247,0.4523569522680106,0.1390045967879235,135,136,15,175,126.17844506887856,AL022024,BERYL,2024-07-02 19:00:00+00:00,134.16666666666666,True,134.16666666666666,131.66666666666666,2.5,False
0.7009374728680795,20372,0.5648500211237854,0.2547136784196049,122,122,19,143,105.11898020814318,AL022024,BERYL,2024-07-02 20:00:00+00:00,133.33333333333334,True,133.33333333333334,133.33333333333334,0.0,False
0.5545822177554582,13745,0.3918282618601589,0.1587054164213054,133,132,104,149,33.61547262794322,AL022024,BERYL,2024-07-02 21:00:00+00:00,132.5,True,132.5,135.0,-2.5,False
0.6784736349388822,12394,0.4317564835672616,0.1409081607130676,135,135,111,155,31.240998703626616,AL022024,BERYL,2024-07-02 22:00:00+00:00,131.66666666666666,True,131.66666666666666,136.66666666666666,-5.0,False
0.6574539910836317,16371,0.5189274447949527,0.1949369500244102,138,138,108,161,37.8021163428716,AL022024,BERYL,2024-07-02 23:00:00+00:00,130.83333333333334,True,130.83333333333334,138.33333333333334,-7.5,False
0.6020142003502493,11767,0.254812050119968,0.1328328723824575,135,139,95,114,47.16990566028302,AL022024,BERYL,2024-07-03 00:00:00+00:00,130.0,False,130.0,140.0,-10.0,False
0.5135566644114112,18978,0.3627746660922016,0.2332194558458475,115,118,97,168,53.14132102234569,AL022024,BERYL,2024-07-03 01:00:00+00:00,129.16666666666666,True,129.16666666666666,140.83333333333334,-11.666666666666686,False
0.4303944717246822,14759,0.287028558971005,0.172432325073312,121,118,88,159,52.630789467763066,AL022024,BERYL,2024-07-03 02:00:00+00:00,128.33333333333334,True,128.33333333333334,141.66666666666666,-13.333333333333314,False
0.5300421099567196,23651,0.4910007880220646,0.3083532157338235,119,116,96,117,23.021728866442675,AL022024,BERYL,2024-07-03 03:00:00+00:00,127.5,True,127.5,142.5,-15.0,False
0.5088340003125051,29457,0.5669867276644414,0.4155017984343043,114,116,119,172,56.22277118748239,AL022024,BERYL,2024-07-03 04:00:00+00:00,126.66666666666669,True,126.66666666666669,143.33333333333334,-16.666666666666657,False
0.4779865099875086,22278,0.4564592050209205,0.2853446730025361,174,166,93,111,97.9081201943945,AL022024,BERYL,2024-07-03 05:00:00+00:00,125.83333333333331,True,125.83333333333331,144.16666666666666,-18.333333333333343,False
0.3718951862810055,26648,0.5274123749749233,0.3615543254097471,175,151,92,110,92.57429448826494,AL022024,BERYL,2024-07-03 06:00:00+00:00,125.0,False,125.0,145.0,-20.0,False
0.3991593513639839,29569,0.5728609803452219,0.4177415481118347,49,176,114,171,65.19202405202648,AL022024,BERYL,2024-07-03 07:00:00+00:00,125.0,True,125.0,145.0,-20.0,False
0.5093812263843503,24808,0.5132827035105377,0.3283914010378058,170,170,75,167,95.0473566176356,AL022024,BERYL,2024-07-03 08:00:00+00:00,125.0,True,125.0,145.0,-20.0,False
0.2768720708654371,24053,0.3302914661799679,0.315246595630349,172,172,91,109,102.61578825892242,AL022024,BERYL,2024-07-03 09:00:00+00:00,125.0,True,125.0,145.0,-20.0,False
0.3073000300537754,20893,0.304507992007992,0.2629406360512969,171,174,95,108,100.65783625729296,AL022024,BERYL,2024-07-03 10:00:00+00:00,125.0,True,125.0,144.44444444444446,-19.444444444444457,False
0.5281552695216073,32625,0.6691821646926402,0.4817133491812719,172,173,95,110,99.48869282486326,AL022024,BERYL,2024-07-03 11:00:00+00:00,125.0,True,125.0,142.22222222222223,-17.22222222222223,False
0.4506642116873009,30223,0.6079057271300508,0.4309629397253632,170,176,96,186,74.67261881037788,AL022024,BERYL,2024-07-03 12:00:00+00:00,125.0,False,125.0,140.0,-15.0,False
0.5992797865447538,37503,0.8697277894107089,0.5967159382010851,164,171,111,191,56.64803615307419,AL022024,BERYL,2024-07-03 13:00:00+00:00,124.16666666666669,True,124.16666666666669,139.16666666666666,-14.999999999999972,False
0.2443454601557589,28403,0.441374235619497,0.3947657368413738,223,223,101,111,165.61400906928134,AL022024,BERYL,2024-07-03 14:00:00+00:00,123.33333333333331,True,123.33333333333331,138.33333333333334,-15.000000000000028,False
