pearson_r_cam_vs_cold,high_cam_px,iou_vs_coldest,iou_expected_by_chance,cam_peak_row,cam_peak_col,coldest_row,coldest_col,peak_to_coldest_dist_px,storm_id,storm_name,timestamp,wind_kt,is_interpolated,sample_time,lat,lon,dist_to_nearest_land_km,nearest_land
0.5620235045803132,17808,0.421739651111732,0.2157394843962008,114,113,108,122,10.816653826391969,AL022024,BERYL,2024-06-30 21:00:00+00:00,112.5,True,2024-06-30 21:00:00+00:00,11.05,-56.5,567.6315050976125,Grenada/Carriacou
0.5456671235281784,9769,0.4754568796254342,0.1078458430389808,116,114,106,124,14.142135623730953,AL022024,BERYL,2024-06-30 22:00:00+00:00,111.66666666666669,True,2024-06-30 22:00:00+00:00,11.1,-56.766666666666666,538.1857667564469,Grenada/Carriacou
0.6225476632859174,12583,0.536292045662658,0.1433649694083332,115,114,111,124,10.770329614269007,AL022024,BERYL,2024-06-30 23:00:00+00:00,110.83333333333331,True,2024-06-30 23:00:00+00:00,11.15,-57.03333333333333,508.7625027809079,Grenada/Carriacou
0.6311759464163956,10535,0.519434628975265,0.1172940534642662,115,114,110,130,16.76305461424021,AL022024,BERYL,2024-07-01 00:00:00+00:00,110.0,False,2024-07-01 00:00:00+00:00,11.2,-57.3,479.3649808947929,Grenada/Carriacou
0.471179271815391,27242,0.540357920330214,0.3726166051155792,45,170,110,129,76.8505042273634,AL022024,BERYL,2024-07-01 01:00:00+00:00,108.33333333333331,True,2024-07-01 01:00:00+00:00,11.25,-57.58333333333333,448.27283674829295,Grenada/Carriacou
0.6035527950055463,16852,0.4350065993954102,0.2018203592814371,113,116,107,129,14.317821063276352,AL022024,BERYL,2024-07-01 02:00:00+00:00,106.66666666666669,True,2024-07-01 02:00:00+00:00,11.3,-57.86666666666667,417.2269228627524,Grenada/Carriacou
0.6800953842510931,15147,0.5452968781881249,0.1777712575553078,115,121,116,130,9.055385138137416,AL022024,BERYL,2024-07-01 03:00:00+00:00,105.0,True,2024-07-01 03:00:00+00:00,11.35,-58.15,386.2371382833907,Grenada/Carriacou
0.6666933315637567,9682,0.4644180594418816,0.1067828388662181,114,129,32,25,132.43866504914644,AL022024,BERYL,2024-07-01 04:00:00+00:00,103.33333333333331,True,2024-07-01 04:00:00+00:00,11.4,-58.43333333333333,355.3168014386948,Grenada/Carriacou
0.4817413547173551,25974,0.5362413130267633,0.3492161660706123,119,122,100,127,19.6468827043885,AL022024,BERYL,2024-07-01 05:00:00+00:00,101.66666666666669,True,2024-07-01 05:00:00+00:00,11.45,-58.71666666666667,324.48425645295686,Grenada/Carriacou
0.5143469530649726,17519,0.4052861669273653,0.2114978329892675,115,115,66,3,122.24974437601088,AL022024,BERYL,2024-07-01 06:00:00+00:00,100.0,False,2024-07-01 06:00:00+00:00,11.5,-59.0,293.76546733614214,Grenada/Carriacou
0.4948837914123204,16309,0.5040346751510121,0.1940554240091382,118,116,96,124,23.40939982143925,AL022024,BERYL,2024-07-01 07:00:00+00:00,102.5,True,2024-07-01 07:00:00+00:00,11.583333333333334,-59.266666666666666,263.3894920811513,Grenada/Carriacou
0.5316037944690591,18806,0.6039232409381663,0.2306183013268584,117,117,111,121,7.211102550927978,AL022024,BERYL,2024-07-01 08:00:00+00:00,105.0,True,2024-07-01 08:00:00+00:00,11.666666666666666,-59.53333333333333,233.04936981524355,Grenada/Carriacou
0.4939748918263608,24288,0.54538224159323,0.3193100546907866,136,137,72,53,105.60303025955268,AL022024,BERYL,2024-07-01 09:00:00+00:00,107.5,True,2024-07-01 09:00:00+00:00,11.75,-59.8,202.75754746049796,Grenada/Carriacou
0.540376564575234,31607,0.6545568758833691,0.4597716197541638,172,149,147,139,26.92582403567252,AL022024,BERYL,2024-07-01 10:00:00+00:00,110.0,True,2024-07-01 10:00:00+00:00,11.833333333333334,-60.06666666666667,172.5351339651425,Grenada/Carriacou
0.5726393876148166,25758,0.5650271895980801,0.3453092742043595,119,118,104,127,17.4928556845359,AL022024,BERYL,2024-07-01 11:00:00+00:00,112.5,True,2024-07-01 11:00:00+00:00,11.916666666666666,-60.333333333333336,142.42101849684533,Grenada/Carriacou
0.5646489886233861,21838,0.535562352775727,0.2781414779529765,123,117,60,35,103.40696301506972,AL022024,BERYL,2024-07-01 12:00:00+00:00,115.0,False,2024-07-01 12:00:00+00:00,12.0,-60.6,112.49541848445347,Grenada/Carriacou
0.5968544074076179,12207,0.4720530599939704,0.1384877190992115,131,116,30,78,107.91200118615168,AL022024,BERYL,2024-07-01 13:00:00+00:00,116.5,True,2024-07-01 13:00:00+00:00,12.15,-60.870000000000005,78.72995200252468,Grenada/Carriacou
0.5314930525580319,15598,0.4131183185359666,0.1840385114566864,140,122,88,118,52.15361924162119,AL022024,BERYL,2024-07-01 14:00:00+00:00,118.0,True,2024-07-01 14:00:00+00:00,12.3,-61.14,44.97883825436057,Grenada/Carriacou
0.5672786830883013,12087,0.3865213650702609,0.1369398969013765,137,130,39,105,101.13851887386922,AL022024,BERYL,2024-07-01 15:00:00+00:00,119.5,True,2024-07-01 15:00:00+00:00,12.45,-61.41,11.24226250069147,Grenada/Carriacou
0.6084157318328971,11907,0.4010707771959758,0.1346260387811634,121,118,48,161,84.72307831990054,AL022024,BERYL,2024-07-01 15:20:00+00:00,120.0,False,2024-07-01 15:20:00+00:00,12.5,-61.5,0.0,Grenada/Carriacou
0.5937998794047583,12170,0.4526139890188589,0.1380100247215985,133,122,8,111,125.4830665866913,AL022024,BERYL,2024-07-01 16:00:00+00:00,122.5,True,2024-07-01 16:00:00+00:00,12.575,-61.7,23.25544743258794,Grenada/Carriacou
0.622040636919091,9717,0.5567125921179109,0.1072102388701936,115,117,12,148,107.56393447619884,AL022024,BERYL,2024-07-01 17:00:00+00:00,126.25,True,2024-07-01 17:00:00+00:00,12.6875,-62.0,58.12750542077449,Grenada/Carriacou
0.5906700559537764,8869,0.5932812359651487,0.0969469737546866,114,117,7,152,112.57886124845996,AL022024,BERYL,2024-07-01 18:00:00+00:00,130.0,False,2024-07-01 18:00:00+00:00,12.8,-62.3,92.98611092617648,Grenada/Carriacou
0.5937671889342465,10525,0.5924048717754747,0.1171696705890211,116,118,0,79,122.38055401083948,AL022024,BERYL,2024-07-01 19:00:00+00:00,131.66666666666666,True,2024-07-01 19:00:00+00:00,12.916666666666668,-62.6,127.99718921988323,Grenada/Carriacou
0.5847045346456251,10161,0.5874082174660209,0.1126609085163708,115,115,3,64,123.06502346320826,AL022024,BERYL,2024-07-01 20:00:00+00:00,133.33333333333334,True,2024-07-01 20:00:00+00:00,13.033333333333331,-62.9,162.9949366077376,Grenada/Carriacou
0.5506619868067866,9574,0.4339848723133378,0.1054660820903743,116,114,29,134,89.26925562588724,AL022024,BERYL,2024-07-01 21:00:00+00:00,135.0,True,2024-07-01 21:00:00+00:00,13.15,-63.2,197.97877014415164,Grenada/Carriacou
0.5773745272105965,9970,0.3815561560313171,0.1103095749153592,119,116,18,210,137.97463535012514,AL022024,BERYL,2024-07-01 22:00:00+00:00,136.66666666666666,True,2024-07-01 22:00:00+00:00,13.266666666666667,-63.49999999999999,232.94837205008943,Grenada/Carriacou
